customer_id,gross_revenue,recency_days,purchases_quantity,qt_items,qt_returns,purchased_returned_diff,cluster
17850,5391.21,372,34,1733,40,7.4342573821331355,runners_up
13047,3232.59,56,9,1390,35,7.2115567333138015,runners_up
12583,6705.38,2,15,5028,50,8.512783482927537,insiders
13748,948.25,95,5,439,0,6.0844994130751715,potentials
15100,876.0,333,3,80,22,4.060443010546419,at_risk
15291,4623.3,25,14,2102,29,7.636752112435779,insiders
14688,5630.87,7,21,3621,399,8.07775756373692,insiders
17809,5411.91,16,12,2057,41,7.60887062919126,insiders
15311,60767.9,0,91,38194,474,10.537945736747394,insiders
16098,2005.63,87,7,613,0,6.418364935936212,potentials
18074,489.6,373,1,190,0,5.247024072160486,about_to_sleep
17420,598.83,50,3,265,0,5.579729825986222,need_attention
16029,72882.09,38,62,40207,8004,10.379814894894523,insiders
16250,389.44,261,2,208,0,5.337538079701318,about_to_sleep
12431,6382.45,35,15,2899,50,7.954723334497908,insiders
17511,91062.38,2,31,64549,1535,11.051112202908191,insiders
13705,711.86,7,3,363,0,5.8944028342648505,potentials
13747,79.6,373,1,8,0,2.0794415416798357,about_to_lose
13408,28117.04,1,62,16232,104,9.688312170871095,insiders
13767,17220.36,2,37,7322,64,8.889859587773016,insiders
17924,2962.5,11,7,1160,19,7.039660349862076,runners_up
13448,3539.37,16,6,1660,22,7.401231264413015,runners_up
15862,832.88,8,4,585,0,6.371611847231857,potentials
15513,14758.220000000001,33,19,5709,164,8.620651899784468,insiders
12791,177.60000000000002,373,1,96,0,4.564348191467836,at_risk
16218,3084.68,29,7,2088,11,7.638679823876112,insiders
14045,1659.75,109,4,535,0,6.282266746896006,potentials
14307,2995.72,88,6,2058,0,7.629489916393995,insiders
17908,243.28,373,1,173,0,5.153291594497779,about_to_sleep
17920,4192.2,4,17,2514,0,7.829630389150193,insiders
12838,683.13,33,2,359,0,5.883322388488279,potentials
13255,399.51,9,2,177,3,5.159055299214529,about_to_sleep
16583,233.45,373,1,111,0,4.709530201312334,about_to_sleep
18085,689.95,330,2,265,0,5.579729825986222,need_attention
13758,3190.55,11,7,1844,0,7.519692404116539,runners_up
13694,65039.62,3,50,63312,1504,11.031788084906063,insiders
15983,1475.02,22,4,892,0,6.79346613258001,runners_up
14849,7930.54,21,25,5694,38,8.640472207576408,insiders
17968,277.35,373,1,160,0,5.075173815233827,about_to_sleep
16210,21076.3,1,17,7558,0,8.930361883909434,insiders
17897,566.6,172,3,229,6,5.407171771460119,need_attention
17377,4100.92,23,20,2076,1,7.637716432664798,insiders
16552,379.73,242,2,219,0,5.389071729816501,need_attention
17181,239.92000000000002,57,2,241,0,5.484796933490655,need_attention
17951,1008.5400000000001,39,3,616,6,6.413458957167357,potentials
14729,313.49,373,1,197,0,5.2832037287379885,about_to_sleep
12748,32317.32,0,206,25511,1535,10.084808608996498,insiders
15012,423.04,53,2,231,0,5.442417710521793,need_attention
12868,1607.0600000000002,185,6,928,0,6.833031732786201,runners_up
17572,226.75000000000003,71,4,95,0,4.553876891600541,at_risk
14078,1049.37,101,6,310,0,5.736572297479192,need_attention
14001,2043.0800000000002,45,3,962,0,6.8690144506657065,runners_up
12662,3543.78,0,11,2041,18,7.612336837167746,insiders
15525,823.42,2,3,414,2,6.021023349349527,potentials
14237,161.0,373,1,38,0,3.6375861597263857,about_to_lose
17905,800.24,71,4,407,0,6.008813185442595,potentials
15485,2575.0,30,3,1306,0,7.174724309836376,runners_up
12433,13375.87,0,7,11071,0,9.312084355859467,insiders
16955,518.67,184,4,266,20,5.5053315359323625,need_attention
15350,115.65,373,1,51,0,3.9318256327243257,at_risk
15605,1198.23,36,5,441,0,6.089044875446846,potentials
18144,2888.75,7,12,1343,0,7.202661196523238,runners_up
15922,369.5,373,1,138,2,4.912654885736052,about_to_sleep
14594,379.83,7,2,185,0,5.220355825078324,about_to_sleep
15165,487.75,373,1,160,0,5.075173815233827,about_to_sleep
14911,136275.72,1,198,80179,3331,11.249584723904606,insiders
16456,2158.37,99,5,1148,0,7.045776576879511,runners_up
17841,40967.72,1,124,23053,203,10.036706396322352,insiders
18289,4951.37,373,1,1207,0,7.095893221097532,runners_up
12472,6068.11,32,7,4120,128,8.292047637431354,insiders
17346,2676.56,3,15,1657,18,7.40184157874383,runners_up
18298,2.9699999999999998,373,1,2,0,0.6931471805599453,about_to_lose
17643,101.55,373,1,71,0,4.2626798770413155,at_risk
18299,99.75,373,1,5,0,1.6094379124341003,about_to_lose
17873,1729.7800000000002,80,5,1046,48,6.905753276311464,runners_up
13093,7832.47,275,8,3961,18,8.279697133877628,insiders
12921,16587.09,9,37,9526,72,9.154193211353181,insiders
13468,5704.97,1,37,2589,8,7.855932199718614,insiders
17760,287.59,21,2,239,0,5.476463551931511,need_attention
18300,6.7,373,1,2,0,0.6931471805599453,about_to_lose
16928,2839.65,80,17,2113,20,7.646353722445999,insiders
16048,256.44,373,2,144,1,4.962844630259907,about_to_sleep
16274,337.75,373,1,153,0,5.030437921392435,about_to_sleep
14496,538.8100000000001,311,2,159,0,5.0689042022202315,about_to_sleep
14696,2078.95,4,7,1630,4,7.3938782901077555,runners_up
16539,1388.81,2,4,477,0,6.1675164908883415,potentials
17025,357.77,60,3,235,0,5.459585514144159,need_attention
13777,25977.16,0,33,12897,90,9.457747175426071,insiders
17690,4757.95,30,15,1773,6,7.4770384723196965,runners_up
12947,1603.99,143,6,1165,8,7.053585727193677,runners_up
17460,622.4300000000001,94,6,236,60,5.170483995038151,need_attention
18229,7276.900000000001,11,20,2488,0,7.81923445385907,insiders
14142,311.81,373,1,313,0,5.746203190540153,need_attention
17069,2709.7000000000003,28,9,1506,24,7.301147805856032,runners_up
13065,205.86,373,1,74,0,4.30406509320417,at_risk
14606,12021.65,1,91,6215,245,8.694502206386648,insiders
18302,6308.16,373,1,1477,0,7.29776828253138,runners_up
16835,180.85,128,2,61,0,4.110873864173311,at_risk
15235,2247.51,217,12,1324,0,7.188412736496954,runners_up
13576,6717.34,10,18,2646,6,7.878534196140362,insiders
18303,38.09,373,1,9,0,2.1972245773362196,about_to_lose
18011,102.78999999999999,373,1,71,0,4.2626798770413155,at_risk
13090,8895.82,8,13,2262,69,7.693025748417888,insiders
15694,6464.4,0,13,1676,12,7.416979621381154,runners_up
14741,1400.34,11,6,841,0,6.734591659972948,runners_up
13715,1079.34,281,5,563,8,6.318968113746434,potentials
14092,4076.91,7,14,2066,5,7.630946580890459,insiders
17732,303.97,372,1,93,0,4.532599493153256,at_risk
12855,38.1,372,1,30,0,3.4011973816621555,about_to_lose
15752,2637.38,39,7,1978,5,7.587310506022615,runners_up
